"row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
"78",9,56,"Derrick Rose","NYK","70 - 84","14",1
"79",9,56,"Derrick Rose","NYK","71 - 84","13",1
"80",9,33,"Channing Frye","CLE","71 - 87","16",3
"81",9,11,"LeBron James","CLE","71 - 89","18",2
"82",8,34,"Richard Jefferson","CLE","71 - 92","21",3
"83",8,19,"Derrick Rose","NYK","74 - 92","18",3
"84",7,48,"Richard Jefferson","CLE","74 - 93","19",1
"85",7,47,"Kevin Love","CLE","74 - 94","20",1
"86",7,29,"Kevin Love","CLE","74 - 95","21",1
"87",7,29,"Kevin Love","CLE","74 - 96","22",1
"88",6,44,"Kevin Love","CLE","74 - 97","23",1
"89",6,44,"Kevin Love","CLE","74 - 98","24",1
"90",6,22,"Brandon Jennings","NYK","76 - 98","22",2
"91",5,56,"Richard Jefferson","CLE","76 - 101","25",3
"92",5,34,"Kevin Love","CLE","76 - 103","27",2
"93",5,34,"Kevin Love","CLE","76 - 104","28",1
"94",5,7,"James Jones","CLE","76 - 107","31",3
"95",4,48,"Ron Baker","NYK","78 - 107","29",2
"96",4,30,"Jordan McRae","CLE","78 - 109","31",2
"97",4,20,"Mindaugas Kuzminskas","NYK","80 - 109","29",2
"98",3,47,"Kyle O'Quinn","NYK","82 - 109","27",2
"99",3,26,"Willy Hernangomez","NYK","84 - 109","25",2
"100",2,44,"DeAndre Liggins","CLE","84 - 111","27",2
"101",2,6,"James Jones","CLE","84 - 112","28",1
"102",2,6,"James Jones","CLE","84 - 113","29",1
"103",1,8,"Mike Dunleavy","CLE","84 - 115","31",2
"104",1,8,"Sasha Vujacic","NYK","85 - 115","30",1
"105",0,19,"Chris Andersen","CLE","85 - 117","32",2
"106",0,12,"Ron Baker","NYK","88 - 117","29",3
